"gene","TF_family","class","isTF","isHomoeolog"
"TRIDC1AG010600","MYB","homolog",TRUE,TRUE
"TRIDC1AG010840","DBP","homolog",TRUE,TRUE
"TRIDC1AG011120","bHLH","singleton",TRUE,FALSE
"TRIDC1AG011790","bHLH","homolog",TRUE,TRUE
"TRIDC1AG011830","MYB","homolog",TRUE,TRUE
"TRIDC1AG012500","zf-HD","homolog",TRUE,TRUE
"TRIDC1AG013170","WRKY","hit2homolog",TRUE,FALSE
"TRIDC1AG014550","LOB","homolog",TRUE,TRUE
"TRIDC1AG014780","bHLH","homolog",TRUE,TRUE
"TRIDC1AG014840","Alfin-like","homolog",TRUE,TRUE
"TRIDC1AG015260","MYB-related","homolog",TRUE,TRUE
"TRIDC1AG015830","bHLH","homolog",TRUE,TRUE
"TRIDC1AG016350","FAR1","homolog",TRUE,TRUE
"TRIDC1AG016750","C2C2-GATA","homolog",TRUE,TRUE
"TRIDC1AG016830","bZIP","homolog",TRUE,TRUE
"TRIDC1AG018130","MADS-MIKC","homolog",TRUE,TRUE
"TRIDC1AG018700","MYB","homolog",TRUE,TRUE
"TRIDC1AG019980","FAR1","singleton",TRUE,FALSE
"TRIDC1AG020970","E2F-DP","homolog",TRUE,TRUE
"TRIDC1AG021220","MYB-related","homolog",TRUE,TRUE
"TRIDC1AG021240","MYB-related","homolog",TRUE,TRUE
"TRIDC1AG021290","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1AG023580","MYB","homolog",TRUE,TRUE
"TRIDC1AG023900","B3-ARF","homolog",TRUE,TRUE
"TRIDC1AG023940","HB-HD-ZIP","homolog",TRUE,TRUE
"TRIDC1AG024610","C2H2","singleton",TRUE,FALSE
"TRIDC1AG025810","MYB","homolog",TRUE,TRUE
"TRIDC1AG026550","LIM","homolog",TRUE,TRUE
"TRIDC1AG026930","C2C2-YABBY","homolog",TRUE,TRUE
"TRIDC1AG026970","Trihelix","homolog",TRUE,TRUE
"TRIDC1AG027800","HB-BELL","homolog",TRUE,TRUE
"TRIDC1AG028100","OFP","homolog",TRUE,TRUE
"TRIDC1AG028190","bZIP","homolog",TRUE,TRUE
"TRIDC1AG028460","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1AG028560","FAR1","hit2homolog",TRUE,FALSE
"TRIDC1AG028800","NAC","homolog",TRUE,TRUE
"TRIDC1AG029200","PLATZ","homolog",TRUE,TRUE
"TRIDC1AG029280","bHLH","homolog",TRUE,TRUE
"TRIDC1AG029320","HB-HD-ZIP","homolog",TRUE,TRUE
"TRIDC1AG029960","WRKY","homolog",TRUE,TRUE
"TRIDC1AG030260","MADS-MIKC","hit2homolog",TRUE,FALSE
"TRIDC1AG030270","MADS-MIKC","homolog",TRUE,TRUE
"TRIDC1AG030400","B3","homolog",TRUE,TRUE
"TRIDC1AG030500","MYB","homolog",TRUE,TRUE
"TRIDC1AG031060","C2H2","homolog",TRUE,TRUE
"TRIDC1AG031580","GRAS","homolog",TRUE,TRUE
"TRIDC1AG032040","bHLH","homolog",TRUE,TRUE
"TRIDC1AG032320","STAT","homolog",TRUE,TRUE
"TRIDC1AG032640","Trihelix","homolog",TRUE,TRUE
"TRIDC1AG032950","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1AG033040","MYB-related","homolog",TRUE,TRUE
"TRIDC1AG033140","HB-HD-ZIP","homolog",TRUE,TRUE
"TRIDC1AG033160","MYB-related","homolog",TRUE,TRUE
"TRIDC1AG033240","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1AG033460","C2C2-GATA","homolog",TRUE,TRUE
"TRIDC1AG033510","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1AG033580","LOB","homolog",TRUE,TRUE
"TRIDC1AG033740","MYB","hit2homolog",TRUE,FALSE
"TRIDC1AG034800","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1AG034830","WRKY","homolog",TRUE,TRUE
"TRIDC1AG035070","FAR1","singleton",TRUE,FALSE
"TRIDC1AG036390","SRS","homolog",TRUE,TRUE
"TRIDC1AG036610","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1AG036810","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1AG037790","MYB","homolog",TRUE,TRUE
"TRIDC1AG038160","SBP","homolog",TRUE,TRUE
"TRIDC1AG038320","FAR1","homolog",TRUE,TRUE
"TRIDC1AG038550","bZIP","homolog",TRUE,TRUE
"TRIDC1AG038620","GARP-G2-like","homolog",TRUE,TRUE
"TRIDC1AG038860","LOB","homolog",TRUE,TRUE
"TRIDC1AG039080","NAC","homolog",TRUE,TRUE
"TRIDC1AG039130","Alfin-like","homolog",TRUE,TRUE
"TRIDC1AG039200","CSD","homolog",TRUE,TRUE
"TRIDC1AG039240","MADS-MIKC","homolog",TRUE,TRUE
"TRIDC1AG039320","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1AG039400","NAC","homolog",TRUE,TRUE
"TRIDC1AG039440","MYB-related","hit2homolog",TRUE,FALSE
"TRIDC1AG039490","MADS-MIKC","homolog",TRUE,TRUE
"TRIDC1AG039770","NAC","homolog",TRUE,TRUE
"TRIDC1AG040090","MYB","homolog",TRUE,TRUE
"TRIDC1AG040510","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1AG040610","bZIP","homolog",TRUE,TRUE
"TRIDC1AG040900","OFP","homolog",TRUE,TRUE
"TRIDC1AG040930","OFP","homolog",TRUE,TRUE
"TRIDC1AG040990","MYB-related","homolog",TRUE,TRUE
"TRIDC1AG041010","NAC","homolog",TRUE,TRUE
"TRIDC1AG041100","bZIP","homolog",TRUE,TRUE
"TRIDC1AG041460","MYB-related","homolog",TRUE,TRUE
"TRIDC1AG041880","HB-BELL","homolog",TRUE,TRUE
"TRIDC1AG041920","bHLH","homolog",TRUE,TRUE
"TRIDC1AG042470","MYB","homolog",TRUE,TRUE
"TRIDC1AG043130","NF-YB","homolog",TRUE,TRUE
"TRIDC1AG043180","bHLH","homolog",TRUE,TRUE
"TRIDC1AG044130","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1AG044270","WRKY","homolog",TRUE,TRUE
"TRIDC1AG044580","OFP","homolog",TRUE,TRUE
"TRIDC1AG044680","WRKY","homolog",TRUE,TRUE
"TRIDC1AG044720","WRKY","homolog",TRUE,TRUE
"TRIDC1AG044920","B3","homolog",TRUE,TRUE
"TRIDC1AG045230","GRAS","homolog",TRUE,TRUE
"TRIDC1AG045440","GARP-G2-like","homolog",TRUE,TRUE
"TRIDC1AG045550","bZIP","homolog",TRUE,TRUE
"TRIDC1AG045760","MYB","homolog",TRUE,TRUE
"TRIDC1AG045920","GARP-G2-like","homolog",TRUE,TRUE
"TRIDC1AG046200","NF-YC","homolog",TRUE,TRUE
"TRIDC1AG046230","MADS-M-type","homolog",TRUE,TRUE
"TRIDC1AG046370","bZIP","homolog",TRUE,TRUE
"TRIDC1AG046880","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1AG046930","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1AG046950","MYB-related","homolog",TRUE,TRUE
"TRIDC1AG047600","GRAS","homolog",TRUE,TRUE
"TRIDC1AG048550","CPP","homolog",TRUE,TRUE
"TRIDC1AG048840","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1AG049030","bZIP","homolog",TRUE,TRUE
"TRIDC1AG049430","TCP","homolog",TRUE,TRUE
"TRIDC1AG049580","TUB","homolog",TRUE,TRUE
"TRIDC1AG049700","B3-ARF","homolog",TRUE,TRUE
"TRIDC1AG050040","HB-PHD","homolog",TRUE,TRUE
"TRIDC1AG050310","FAR1","unknown",TRUE,FALSE
"TRIDC1AG050400","C2C2-GATA","homolog",TRUE,TRUE
"TRIDC1AG051320","WRKY","homolog",TRUE,TRUE
"TRIDC1AG051700","HSF","homolog",TRUE,TRUE
"TRIDC1AG051750","FAR1","homolog",TRUE,TRUE
"TRIDC1AG052220","NF-YC","homolog",TRUE,TRUE
"TRIDC1AG052370","NF-YC","homolog",TRUE,TRUE
"TRIDC1AG052640","MYB-related","homolog",TRUE,TRUE
"TRIDC1AG052670","AP2/ERF-AP2","homolog",TRUE,TRUE
"TRIDC1AG052700","WRKY","homolog",TRUE,TRUE
"TRIDC1AG052720","WRKY","homolog",TRUE,TRUE
"TRIDC1AG052740","WRKY","hit2homolog",TRUE,FALSE
"TRIDC1AG053340","FAR1","homolog",TRUE,TRUE
"TRIDC1AG053740","MYB","homolog",TRUE,TRUE
"TRIDC1AG053750","MYB","homolog",TRUE,TRUE
"TRIDC1AG053760","MYB","homolog",TRUE,TRUE
"TRIDC1AG053770","MYB","homolog",TRUE,TRUE
"TRIDC1AG054430","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1AG054450","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1AG054700","AP2/ERF-RAV","hit2homolog",TRUE,FALSE
"TRIDC1AG054710","AP2/ERF-RAV","homolog",TRUE,TRUE
"TRIDC1AG054720","AP2/ERF-RAV","homolog",TRUE,TRUE
"TRIDC1AG054780","BES1","homolog",TRUE,TRUE
"TRIDC1AG054800","MYB","hit2homolog",TRUE,FALSE
"TRIDC1AG054870","HB-HD-ZIP","homolog",TRUE,TRUE
"TRIDC1AG055260","HSF","homolog",TRUE,TRUE
"TRIDC1AG055770","MYB","homolog",TRUE,TRUE
"TRIDC1AG056620","FAR1","singleton",TRUE,FALSE
"TRIDC1AG056890","OFP","homolog",TRUE,TRUE
"TRIDC1AG057750","Trihelix","homolog",TRUE,TRUE
"TRIDC1AG058170","HB-other","homolog",TRUE,TRUE
"TRIDC1AG058290","B3-ARF","homolog",TRUE,TRUE
"TRIDC1AG058330","FAR1","hit2homolog",TRUE,FALSE
"TRIDC1AG059640","WRKY","homolog",TRUE,TRUE
"TRIDC1AG059680","MYB-related","unknown",TRUE,FALSE
"TRIDC1AG059700","MYB-related","homolog",TRUE,TRUE
"TRIDC1AG059720","MYB-related","hit2homolog",TRUE,FALSE
"TRIDC1AG059740","MYB-related","hit2homolog",TRUE,FALSE
"TRIDC1AG059760","MYB-related","homolog",TRUE,TRUE
"TRIDC1AG059780","MYB-related","unknown",TRUE,FALSE
"TRIDC1AG059930","MYB","homolog",TRUE,TRUE
"TRIDC1AG060340","bZIP","homolog",TRUE,TRUE
"TRIDC1AG060480","WRKY","homolog",TRUE,TRUE
"TRIDC1AG060500","WRKY","hit2homolog",TRUE,FALSE
"TRIDC1AG060530","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1AG060580","GARP-G2-like","homolog",TRUE,TRUE
"TRIDC1AG060590","GARP-G2-like","hit2homolog",TRUE,FALSE
"TRIDC1AG060610","NF-YB","homolog",TRUE,TRUE
"TRIDC1AG060940","GRAS","homolog",TRUE,TRUE
"TRIDC1AG061280","C2H2","homolog",TRUE,TRUE
"TRIDC1AG061530","zf-HD","homolog",TRUE,TRUE
"TRIDC1AG061580","MYB-related","homolog",TRUE,TRUE
"TRIDC1AG061590","MYB-related","homolog",TRUE,TRUE
"TRIDC1AG061610","MYB-related","homolog",TRUE,TRUE
"TRIDC1AG061620","FAR1","hit2homolog",TRUE,FALSE
"TRIDC1AG061860","MYB","homolog",TRUE,TRUE
"TRIDC1AG062060","WRKY","homolog",TRUE,TRUE
"TRIDC1AG062200","WRKY","homolog",TRUE,TRUE
"TRIDC1AG062900","CPP","homolog",TRUE,TRUE
"TRIDC1AG064060","Trihelix","homolog",TRUE,TRUE
"TRIDC1AG065380","C2H2","homolog",TRUE,TRUE
"TRIDC1BG000730","MYB","hit2homolog",TRUE,FALSE
"TRIDC1BG001650","FAR1","unknown",TRUE,FALSE
"TRIDC1BG001700","FAR1","hit2homolog",TRUE,FALSE
"TRIDC1BG003080","MYB","hit2homolog",TRUE,FALSE
"TRIDC1BG003090","MYB","hit2homolog",TRUE,FALSE
"TRIDC1BG003980","GRAS","hit2homolog",TRUE,FALSE
"TRIDC1BG004000","GRAS","singleton",TRUE,FALSE
"TRIDC1BG004120","GRAS","homolog",TRUE,TRUE
"TRIDC1BG004430","HB-other","singleton",TRUE,FALSE
"TRIDC1BG005390","FAR1","singleton",TRUE,FALSE
"TRIDC1BG005490","FAR1","hit2homolog",TRUE,FALSE
"TRIDC1BG006190","B3","singleton",TRUE,FALSE
"TRIDC1BG006760","MYB","homolog",TRUE,TRUE
"TRIDC1BG007240","MADS-M-type","homolog",TRUE,TRUE
"TRIDC1BG007250","MADS-M-type","hit2homolog",TRUE,FALSE
"TRIDC1BG009160","HB-WOX","homolog",TRUE,TRUE
"TRIDC1BG010030","AP2/ERF-AP2","homolog",TRUE,TRUE
"TRIDC1BG010590","LOB","homolog",TRUE,TRUE
"TRIDC1BG010870","C2C2-GATA","hit2homolog",TRUE,FALSE
"TRIDC1BG011700","MYB","homolog",TRUE,TRUE
"TRIDC1BG012380","Trihelix","homolog",TRUE,TRUE
"TRIDC1BG012530","WRKY","homolog",TRUE,TRUE
"TRIDC1BG012930","bZIP","homolog",TRUE,TRUE
"TRIDC1BG012940","HB-KNOX","homolog",TRUE,TRUE
"TRIDC1BG012960","HB-KNOX","homolog",TRUE,TRUE
"TRIDC1BG013330","B3","homolog",TRUE,TRUE
"TRIDC1BG013390","MYB","homolog",TRUE,TRUE
"TRIDC1BG013570","DBP","homolog",TRUE,TRUE
"TRIDC1BG013910","MYB","singleton",TRUE,FALSE
"TRIDC1BG014540","bHLH","homolog",TRUE,TRUE
"TRIDC1BG014640","MYB","homolog",TRUE,TRUE
"TRIDC1BG015350","zf-HD","homolog",TRUE,TRUE
"TRIDC1BG016240","bHLH","homolog",TRUE,TRUE
"TRIDC1BG017860","MYB","singleton",TRUE,FALSE
"TRIDC1BG018090","bZIP","homolog",TRUE,TRUE
"TRIDC1BG018220","C2C2-GATA","homolog",TRUE,TRUE
"TRIDC1BG018900","bHLH","homolog",TRUE,TRUE
"TRIDC1BG018940","Alfin-like","homolog",TRUE,TRUE
"TRIDC1BG019020","MYB-related","homolog",TRUE,TRUE
"TRIDC1BG019490","LOB","homolog",TRUE,TRUE
"TRIDC1BG022160","MADS-MIKC","homolog",TRUE,TRUE
"TRIDC1BG022960","MYB-related","homolog",TRUE,TRUE
"TRIDC1BG025500","E2F-DP","homolog",TRUE,TRUE
"TRIDC1BG026010","FAR1","singleton",TRUE,FALSE
"TRIDC1BG026240","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1BG027920","FAR1","hit2homolog",TRUE,FALSE
"TRIDC1BG028530","MYB-related","homolog",TRUE,TRUE
"TRIDC1BG029000","B3-ARF","homolog",TRUE,TRUE
"TRIDC1BG029010","HB-HD-ZIP","homolog",TRUE,TRUE
"TRIDC1BG031210","MYB","homolog",TRUE,TRUE
"TRIDC1BG031910","LIM","homolog",TRUE,TRUE
"TRIDC1BG032080","HB-BELL","homolog",TRUE,TRUE
"TRIDC1BG032140","NAC","homolog",TRUE,TRUE
"TRIDC1BG032350","OFP","homolog",TRUE,TRUE
"TRIDC1BG032560","bZIP","homolog",TRUE,TRUE
"TRIDC1BG032780","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1BG033190","FAR1","singleton",TRUE,FALSE
"TRIDC1BG033940","Trihelix","homolog",TRUE,TRUE
"TRIDC1BG033970","C2C2-YABBY","homolog",TRUE,TRUE
"TRIDC1BG034670","PLATZ","homolog",TRUE,TRUE
"TRIDC1BG034740","bHLH","homolog",TRUE,TRUE
"TRIDC1BG034940","HB-HD-ZIP","homolog",TRUE,TRUE
"TRIDC1BG035450","WRKY","homolog",TRUE,TRUE
"TRIDC1BG035770","MADS-M-type","unknown",TRUE,FALSE
"TRIDC1BG035790","MADS-M-type","hit2homolog",TRUE,FALSE
"TRIDC1BG035890","B3","homolog",TRUE,TRUE
"TRIDC1BG036000","MYB","homolog",TRUE,TRUE
"TRIDC1BG036990","GRAS","homolog",TRUE,TRUE
"TRIDC1BG037430","bHLH","homolog",TRUE,TRUE
"TRIDC1BG037690","STAT","homolog",TRUE,TRUE
"TRIDC1BG037970","Trihelix","homolog",TRUE,TRUE
"TRIDC1BG038320","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1BG038430","MYB-related","homolog",TRUE,TRUE
"TRIDC1BG038500","HB-HD-ZIP","homolog",TRUE,TRUE
"TRIDC1BG038520","MYB-related","homolog",TRUE,TRUE
"TRIDC1BG038620","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1BG038790","C2C2-GATA","homolog",TRUE,TRUE
"TRIDC1BG038830","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1BG038950","LOB","homolog",TRUE,TRUE
"TRIDC1BG039880","WRKY","homolog",TRUE,TRUE
"TRIDC1BG039910","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1BG041470","SRS","homolog",TRUE,TRUE
"TRIDC1BG041600","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1BG041800","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1BG043300","MYB","homolog",TRUE,TRUE
"TRIDC1BG043410","SBP","homolog",TRUE,TRUE
"TRIDC1BG043770","bZIP","singleton",TRUE,FALSE
"TRIDC1BG043790","C2H2","hit2homolog",TRUE,FALSE
"TRIDC1BG043880","GARP-G2-like","homolog",TRUE,TRUE
"TRIDC1BG044070","LOB","homolog",TRUE,TRUE
"TRIDC1BG044490","NAC","homolog",TRUE,TRUE
"TRIDC1BG044510","Alfin-like","homolog",TRUE,TRUE
"TRIDC1BG044550","CSD","homolog",TRUE,TRUE
"TRIDC1BG044560","CSD","homolog",TRUE,TRUE
"TRIDC1BG044620","MADS-MIKC","homolog",TRUE,TRUE
"TRIDC1BG044700","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1BG044790","NAC","homolog",TRUE,TRUE
"TRIDC1BG044940","MADS-M-type","homolog",TRUE,TRUE
"TRIDC1BG045200","NAC","homolog",TRUE,TRUE
"TRIDC1BG045470","FAR1","singleton",TRUE,FALSE
"TRIDC1BG045550","MYB","homolog",TRUE,TRUE
"TRIDC1BG046040","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1BG046170","bZIP","homolog",TRUE,TRUE
"TRIDC1BG046300","MYB-related","hit2homolog",TRUE,FALSE
"TRIDC1BG046550","OFP","homolog",TRUE,TRUE
"TRIDC1BG046560","OFP","homolog",TRUE,TRUE
"TRIDC1BG046650","MYB-related","homolog",TRUE,TRUE
"TRIDC1BG046680","NAC","homolog",TRUE,TRUE
"TRIDC1BG046810","bZIP","homolog",TRUE,TRUE
"TRIDC1BG046850","C2H2","singleton",TRUE,FALSE
"TRIDC1BG047240","MYB-related","homolog",TRUE,TRUE
"TRIDC1BG047740","HB-BELL","homolog",TRUE,TRUE
"TRIDC1BG047820","bHLH","homolog",TRUE,TRUE
"TRIDC1BG048240","MYB","homolog",TRUE,TRUE
"TRIDC1BG048940","NF-YB","homolog",TRUE,TRUE
"TRIDC1BG049260","bHLH","homolog",TRUE,TRUE
"TRIDC1BG050010","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1BG050150","WRKY","homolog",TRUE,TRUE
"TRIDC1BG050230","B3","hit2homolog",TRUE,FALSE
"TRIDC1BG050430","OFP","homolog",TRUE,TRUE
"TRIDC1BG050560","WRKY","homolog",TRUE,TRUE
"TRIDC1BG050580","WRKY","homolog",TRUE,TRUE
"TRIDC1BG050930","B3","homolog",TRUE,TRUE
"TRIDC1BG051140","GRAS","homolog",TRUE,TRUE
"TRIDC1BG051420","GARP-G2-like","homolog",TRUE,TRUE
"TRIDC1BG051540","bZIP","homolog",TRUE,TRUE
"TRIDC1BG051830","MYB","homolog",TRUE,TRUE
"TRIDC1BG051990","GARP-G2-like","homolog",TRUE,TRUE
"TRIDC1BG052310","NF-YC","homolog",TRUE,TRUE
"TRIDC1BG052520","bZIP","homolog",TRUE,TRUE
"TRIDC1BG053060","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1BG053090","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1BG053140","MYB-related","homolog",TRUE,TRUE
"TRIDC1BG053840","GRAS","homolog",TRUE,TRUE
"TRIDC1BG054320","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1BG055120","FAR1","singleton",TRUE,FALSE
"TRIDC1BG055240","CPP","homolog",TRUE,TRUE
"TRIDC1BG055470","C2H2","hit2homolog",TRUE,FALSE
"TRIDC1BG055500","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1BG055660","bZIP","homolog",TRUE,TRUE
"TRIDC1BG056140","TCP","homolog",TRUE,TRUE
"TRIDC1BG056320","TUB","homolog",TRUE,TRUE
"TRIDC1BG056400","B3-ARF","homolog",TRUE,TRUE
"TRIDC1BG056900","HB-PHD","homolog",TRUE,TRUE
"TRIDC1BG057210","C2C2-GATA","homolog",TRUE,TRUE
"TRIDC1BG058570","WRKY","homolog",TRUE,TRUE
"TRIDC1BG059170","NF-YC","homolog",TRUE,TRUE
"TRIDC1BG059340","NF-YC","homolog",TRUE,TRUE
"TRIDC1BG060230","MYB-related","homolog",TRUE,TRUE
"TRIDC1BG060280","AP2/ERF-AP2","homolog",TRUE,TRUE
"TRIDC1BG060330","WRKY","homolog",TRUE,TRUE
"TRIDC1BG060360","WRKY","homolog",TRUE,TRUE
"TRIDC1BG061010","FAR1","homolog",TRUE,TRUE
"TRIDC1BG061380","NF-YB","hit2homolog",TRUE,FALSE
"TRIDC1BG061540","MYB","hit2homolog",TRUE,FALSE
"TRIDC1BG061550","MYB","homolog",TRUE,TRUE
"TRIDC1BG061560","MYB","homolog",TRUE,TRUE
"TRIDC1BG061590","MYB","homolog",TRUE,TRUE
"TRIDC1BG061600","MYB","homolog",TRUE,TRUE
"TRIDC1BG062300","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1BG062320","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1BG062600","AP2/ERF-RAV","hit2homolog",TRUE,FALSE
"TRIDC1BG062620","AP2/ERF-RAV","homolog",TRUE,TRUE
"TRIDC1BG062640","AP2/ERF-RAV","homolog",TRUE,TRUE
"TRIDC1BG062840","HB-HD-ZIP","homolog",TRUE,TRUE
"TRIDC1BG063360","HSF","homolog",TRUE,TRUE
"TRIDC1BG064140","MYB","homolog",TRUE,TRUE
"TRIDC1BG065070","CPP","singleton",TRUE,FALSE
"TRIDC1BG065350","OFP","homolog",TRUE,TRUE
"TRIDC1BG066480","Trihelix","homolog",TRUE,TRUE
"TRIDC1BG067010","CPP","hit2homolog",TRUE,FALSE
"TRIDC1BG067030","CPP","singleton",TRUE,FALSE
"TRIDC1BG067120","HB-other","homolog",TRUE,TRUE
"TRIDC1BG067240","B3-ARF","homolog",TRUE,TRUE
"TRIDC1BG068090","MYB-related","hit2homolog",TRUE,FALSE
"TRIDC1BG068110","MYB-related","hit2homolog",TRUE,FALSE
"TRIDC1BG068140","WRKY","homolog",TRUE,TRUE
"TRIDC1BG068620","MYB-related","hit2homolog",TRUE,FALSE
"TRIDC1BG068640","MYB-related","hit2homolog",TRUE,FALSE
"TRIDC1BG068670","MYB-related","homolog",TRUE,TRUE
"TRIDC1BG068680","MYB-related","unknown",TRUE,FALSE
"TRIDC1BG068690","MYB-related","homolog",TRUE,TRUE
"TRIDC1BG068900","MYB","homolog",TRUE,TRUE
"TRIDC1BG069090","bZIP","homolog",TRUE,TRUE
"TRIDC1BG069240","WRKY","homolog",TRUE,TRUE
"TRIDC1BG069280","WRKY","unknown",TRUE,FALSE
"TRIDC1BG069400","AP2/ERF-ERF","homolog",TRUE,TRUE
"TRIDC1BG069460","GARP-G2-like","homolog",TRUE,TRUE
"TRIDC1BG069490","NF-YB","homolog",TRUE,TRUE
"TRIDC1BG069860","GRAS","homolog",TRUE,TRUE
